provider,ntd_id,voms,upt,contact_city,service_county,url,gtfs,gtfs_rt_service_alerts,gtfs_rt_trip_updates,gtfs_rt_vehicle_locations
Culver CityBus,90039,44,341613,Culver City,Los Angeles,https://www.culvercity.org/how-do-i/find/culver-city-bus/,https://transitfeeds.com/p/culver-city-bus/1057/latest/download,,,
Cuyama Transit,,,,Cuyama,Santa Barbara,https://www.transit.wiki/Cuyama_Transit,,,,
Cypress Transportation,,,,Cypress,Orange,https://www.cypressca.org/government/departments/recreation-community-services/senior-center/transportation,,,,
DASH,90147,272,1299265,Los Angeles,Los Angeles,http://www.ladottransit.com/,,,,
DASH Transit,90301,,,Lakewood,Los Angeles,https://www.lakewoodcity.org/services/human/transit.asp,,,,
Dana Point Trolley,,,,Dana Point,Orange,https://visitdanapoint.com/dana-point-trolley/,,,,
Davis Community Transit,90167,,,Davis,Yolo,http://cityofdavis.org/city-hall/parks-and-community-services/davis-community-transit,,,,
Delano Area Rapid Transit,90238,,,Delano,Kern,https://www.cityofdelano.org/92/Delano-Area-Rapid-Transit-DART,,,,
Desert Roadrunner,,,,Blythe,Riverside,https://pvvta.com/,,,,
Diamond Bar Transportation,,,,Diamond Bar,Los Angeles,https://www.diamondbarca.gov/487/Transportation,,,,
Dinuba Area Regional Transit,91040,,,Dinuba,Tulare,http://www.dinuba.org/services/public-services/public-transit,,,,
Disneyland Resort Express,,,,Anaheim,Orange,https://dre.coachusa.com/,,,,
Dixon Readi-Ride Transit Services,91041,,,Dixon,Solano,http://www.ci.dixon.ca.us/,,,,
DowneyLINK,90263,,,Downey,Los Angeles,https://www.downeyca.org/our-city/departments/parks-recreation/transit/downeylink-transit-system,,,,
Duarte Transit,90264,,,Duarte,Los Angeles,http://www.accessduarte.com/dept/admin/transit_division/default.htm,https://transitfeeds.com/p/duarte-transit/759/latest/download,,,
Dumbarton Express,,,,Oakland,"Alameda, San Mateo, Santa Clara",https://dumbartonexpress.com/,,,,
East Los Angeles Shuttle,90271,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/ElSolShuttle.aspx,,,,
East Valinda Shuttle,90272,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/EastValindaShuttle.aspx,,,,
Eastern Sierra Transit Authority,91062,,,Bishop,"Inyo, Mono, Los Angeles",http://www.estransit.com,https://transitfeeds.com/p/eastern-sierra-transit/602/latest/download,,,
Easy Lift Transportation,90243,,,Goleta,Santa Barbara,http://www.easylift.org/,,,,
El Dorado Transit,90229,,,Diamond Springs,El Dorado,http://www.eldoradotransit.com/,https://transitfeeds.com/p/el-dorado-transit/680/latest/download,,,
El Monte Transportation Division,90265,,,El Monte,Los Angeles,http://www.ci.el-monte.ca.us/Government/PublicWorks/Transportation.aspx,https://transitfeeds.com/p/el-monte-transit/903/latest/download,,,
El Segundo Lunchtime Shuttle,,,,El Segundo,Los Angeles,http://www.elsegundo.org/depts/recreation/brochure_and_programs/shuttle_services.asp,,,,
Emery Go-Round,,,,Emeryville,Alameda,https://www.emerygoround.com/,https://transitfeeds.com/p/emery-go-round/769/latest/download,,,
Eureka Transit Service,91093,,,Eureka,Humboldt,https://hta.org/agencies/eureka-transit-service/,,,,
Fairfield and Suisun Transit,90092,31,72206,Fairfield,Solano,https://fasttransit.org/,https://transitfeeds.com/p/fairfield-and-suisun-transit/337/latest/download,,,
Folsom Stage Line,90220,,,Folsom,Sacramento,https://www.folsom.ca.us/public_works/transit/stage_line/default.asp,,,,
Foothill Gold Line,,,,Monrovia,"Los Angeles, San Bernardino",https://foothillgoldline.org/,,,,
Foothill Transit,90146,303,966838,West Covina,Los Angeles,http://www.foothilltransit.org/,https://transitfeeds.com/p/foothill-transit/506/latest/download,,,
Foster City Senior Express Shuttle,,,,Foster City,San Mateo,https://www.fostercity.org/citymanager/page/transportation-contacts,,,,
Fremont Paratransit Program,,,,Fremont,Alameda,https://www.fremont.gov/BusinessDirectoryII.aspx?lngBusinessCategoryID=40,,,,
Fresno Area Express,90027,99,894051,Fresno,Fresno,http://www.fresno.gov/fax/,https://transitfeeds.com/p/fresno-area-express/315/latest/download,,,
Fresno County Rural Transit Agency,91007,,,Fresno,Fresno,http://www.ruraltransit.org/,https://transitfeeds.com/p/fresno-county-rural-transit-agency/338/latest/download,,,
GET Bus,90004,68,493839,Bakersfield,Kern,http://www.getbus.org/,,,,
GTrans,90042,43,236252,Gardena,Los Angeles,http://ridegtrans.com/,,,,
Get Around Town Express,90291,,,South Gate,Los Angeles,http://www.cityofsouthgate.org/218/GATE-Get-Around-Town-Express,,,,
Glendale Beeline,99423,28,110904,Glendale,Los Angeles,www.glendaleca.gov/government/departments/public-works/public-transportation/beeline-transit-system,https://transitfeeds.com/p/city-of-glendale/628/latest/download,,,
Glendora Transportation Division,90266,,,Glendora,Los Angeles,www.cityofglendora.org/transportation,,,,
Glenn Transit Service,91088,,,Willows,Glenn,https://www.countyofglenn.net/dept/public-works/public-transit-transportation/welcome,,,,
Go West Shuttle,90293,,,West Covina,Los Angeles,https://www.westcovina.org/departments/public-services-department/public-services-department-community-services-division/transit-services,,,,
Gold Coast Transit,90035,46,299511,Oxnard,Ventura,http://www.goldcoasttransit.org/,https://transitfeeds.com/p/gold-coast-transit/339/latest/download,,,
Gold Country Stage,91095,,,Nevada City,Nevada,https://www.mynevadacounty.com/2257/Transit-Services,https://transitfeeds.com/p/gold-country-stage/749/latest/download,,,
Golden Gate Bridge Highway and Transportation District,90016,117,250572,San Francisco,"Marin, Sonoma, San Francisco, Contra Costa",http://www.goldengate.org/,https://transitfeeds.com/p/golden-gate-bridge-highway-transportation-district/349/latest/download,,,
Grapeline,90175,,,Lodi,San Joaquin,http://www.lodi.gov/469/Transit,https://transitfeeds.com/p/city-of-lodi-grapeline/711/latest/download,,,
Greyhound,,,,Intercity,"San Bernardino, Kern, Butte, Stanislaus, Fresno, Santa Clara, Alameda, Riverside, San Joaquin, Madera, Merced, San Luis Obispo, Shasta, Placer, Sacramento, Monterey, Marin, Santa Barbara, Los Angeles, Solano, San Francisco, Nevada, Tulare, San Diego",http://www.autobusesamericanos.us/,,,,
Gridley Golden Feather Flyer,,,,Gridley,Butte,http://gridley.ca.us/why-live-here/,,,,
Guadalupe Flyer,91043,,,Guadalupe,Santa Barbara,https://www.smoothinc.org/guadalupe-flyer.php,,,,
Hawaiian Gardens Public Transportation,,,,Hawaiian Gardens,"Los Angeles, Orange",https://hgcity.org/hg/?p=266,,,,
Hawthorne Dial-a-Ride Transportation,,,,Hawthorne,Los Angeles,http://www.cityofhawthorne.org/senior-activities,,,,
Healdsburg Transportation,,,,Healdsburg,Sonoma,https://www.ci.healdsburg.ca.us/861/Transportation-Options,,,,
Hill Hopper Shuttle,,,,Hayward,Alameda,https://www.ce.csueastbay.edu/about/locations/hayward.html,,,,
Humboldt Transit Authority,91036,,,Eureka,Humboldt,http://www.hta.org/,https://transitfeeds.com/p/arcata-mad-river-transit-system/148/latest/download,,,
Huntington Park Express,90267,,,Huntington Park,Los Angeles,https://www.hpca.gov/232/HP-Express,,,,
Imperial Valley Transit,90226,18,57143,El Centro,Imperial,http://www.ivtransit.com/,,,,
Inglewood,90268,,,Inglewood,Los Angeles,https://www.cityofinglewood.org/796/Transportation,,,,
Inland Regional Center,,,,San Bernardino,"San Bernardino, Riverside",http://www.inlandrc.org,,,,
Inyo County Local Transportation Commission,,,,Independence,Inyo,http://www.inyoltc.org/,,,,
Irvine Shuttle,90231,,,Irvine,Orange,https://www.cityofirvine.org/public-works-department/irvine-shuttle,,,,
John Wayne Airport,,,,Santa Ana,Orange,https://www.ocair.com,,,,
Karuk Tribe,,,,Orleans,Humboldt,http://www.karuk.us/index.php/departments/transportation,,,,
Kern Transit,91059,,,Bakersfield,Kern,http://kerntransit.org/,,,,
Kings Area Rural Transit,90200,14,49906,Hanford,Kings,https://www.kartbus.org/,https://transitfeeds.com/p/kings-area-rural-transit/1026/latest/download,,,
LAX FlyAway,,,,Los Angeles,Los Angeles,http://www.lawa.org/FlyAway/Default.aspx,,,,
La Campana,90252,,,Bell,Los Angeles,http://www.cityofbell.org/?NavID=72,,,,
La Canada Flintridge Shuttle & Dial-a-Ride,,,,La Canada Flintridge,Los Angeles,https://cityoflcf.org/live-well/transportation/,,,,
La Habra Heights Dial-a-Ride,,,,La Habra Heights,Los Angeles,https://www.lhhcity.org/196/Transportation,,,,
La Mirada Transit,90024,,,La Mirada,Los Angeles,http://www.cityoflamirada.org/city-services/transit,,,,
La Puente LINK,,,,La Puente,Los Angeles,http://www.lapuente.org/how-do-i-/find/transit-services,,,,
Laguna Beach Municipal Transit,90119,,,Laguna Beach,Orange,http://www.lagunabeachcity.net/trolley,https://transitfeeds.com/p/laguna-beach-transit/402/latest/download,,,
Laguna Niguel Transportation Program,,,,Laguna Niguel,Orange,https://www.cityoflagunaniguel.org/243/Transportation-Services,,,,
Laguna Woods Senior Mobility Program,,,,Laguna Woods,Orange,https://www.cityoflagunawoods.org/our-services/senior-mobility-services/,,,,
Lake Forest Senior Transportation,,,,Lake Forest,Orange,http://www.lakeforestca.gov/173/Senior-Transportation,,,,
Lake Transit,91053,,,Lower Lake,Lake,http://laketransit.org/,https://transitfeeds.com/p/lake-transit-authority/598/latest/download,,,
Lassen Transit Service Agency,91098,,,Susanville,Lassen,http://lassentransportation.com/ltsa,,,,
Lawndale Beat,90280,,,Lawndale,Los Angeles,http://www.lawndalecity.org/html/depthtml/csd/beat.htm,https://transitfeeds.com/p/lawndale-beat/1253/latest/download,,,
Lincoln Transit,,,,Lincoln,Placer,http://www.lincolnca.gov/city-hall/departments-divisions/public-services/transit,,,,
Long Beach Transit,90023,186,1933792,Long Beach,"Los Angeles, Orange",http://www.lbtransit.com/,https://transitfeeds.com/p/long-beach-transit/704/latest/download,https://transitfeeds.com/p/long-beach-transit/1064,,
Lynwood Trolley / Breeze,90281,,,Lynwood,Los Angeles,http://lynwood.ca.us/lynwood-trolley-breeze-schedule/,,,,
MUNI,90015,875,18006740,San Francisco,San Francisco,http://www.sfmta.com/,https://transitfeeds.com/p/sfmta/60/latest/download,,,
MVGO,,,,Mountain View,Santa Clara,http://www.mvgo.org/,https://transitfeeds.com/p/mvgo/754/latest/download,,,
Madera Area Express,90199,,,Madera,Madera,https://www.cityofmadera.ca.gov/home/departments/transit/,,,,
Madera County Connection,91005,,,Madera,Madera,http://mcctransit.com/,https://transitfeeds.com/p/madera-county-transit/415/latest/download,,,
Malibu Dial-A-Ride,90282,,,Malibu,Los Angeles,https://www.malibucity.org,,,,
Mammoth Lakes Transit System,,,,Mammoth Lakes,Mono,https://www.estransit.com/routes-schedule/seasonal/,,,,
Manhattan Beach Dial-A-Ride,90283,,,Manhattan Beach,Los Angeles,https://www.citymb.info/visitors/maps-and-directions/public-transportation,,,,
Manteca Transit,90217,,,Manteca,San Joaquin,http://www.ci.manteca.ca.us/PublicWorks/MantecaTransit/Pages/default.aspx,,,,
Marguerite Shuttle,,,,Stanford,Santa Clara,http://transportation.stanford.edu/marguerite/,https://transitfeeds.com/p/stanford-marguerite-shuttle/736/latest/download,,,
Marin Airporter,,,,San Rafael,Marin,http://www.marinairporter.com/,,,,
Marin Transit,90234,54,245296,San Rafael,Marin,http://marintransit.org/,https://transitfeeds.com/p/marin-transit/345/latest/download,,,
Mariposa County Transit,91082,,,Mariposa,Mariposa,http://ca-mariposacounty.civicplus.com/422/Transportation,,,,
Maywood Dial-A-Ride,90284,,,Maywood,Los Angeles,https://www.cityofmaywood.com/dial-a-ride,,,,
McFarland City Transit Bus,91110,,,McFarland,Kern,https://www.mcfarlandcity.org/269/Transportation,,,,
Mendocino Transit Authority,91047,,,Ukiah AND Fort Bragg,Mendocino,http://www.mendocinotransit.org,https://transitfeeds.com/p/mendocino-transit-authority/205/latest/download,,,
Menlo Park Shuttles,,,,Menlo Park,San Mateo,https://www.menlopark.org/156/Shuttle-services,,,,
Merced The Bus,90173,38,71947,Merced,Merced,http://www.mercedthebus.com/,https://transitfeeds.com/p/merced-transit-authority/605/latest/download,,,
Metro,90154,2141,30497681,Los Angeles,Los Angeles,http://www.metro.net/,https://transitfeeds.com/p/la-metro/184/latest/download // https://transitfeeds.com/p/la-metro/677/latest/download,,,
Metrolink,90151,195,1082682,Los Angeles,Los Angeles,http://www.metrolinktrains.com/,https://transitfeeds.com/p/metrolink/332/latest/download,,,
Metropolitan Transportation Commission,,,,San Francisco,"San Francisco, Alameda, Contra Costa, Marin, Napa, San Mateo, Santa Clara, Solano, Sonoma",https://mtc.ca.gov/,,,,
Mission Bay TMA,,,,San Francisco,San Francisco,http://missionbaytma.org,https://transitfeeds.com/p/mission-bay-tma/952/latest/download,,,
Mission City Transit,,,,San Fernando,Los Angeles,http://ci.san-fernando.ca.us/recreation-community-services/programs/mission-city-transit/,,,,
Modesto Area Express,90007,46,181158,Modesto,"Stanislaus, Alameda, San Joaquin",http://www.modestoareaexpress.com/,https://transitfeeds.com/p/modesto-area-express/1280/latest/download,,https://transitfeeds.com/p/modesto-area-express/928,
Monrovia Transit Dial-A-Ride,90285,,,Monrovia,Los Angeles,https://www.cityofmonrovia.org/your-government/public-works/transportation,,,,
Montebello Bus Lines,90041,67,423423,Montebello,Los Angeles,http://www.ridembl.com/,,,,
Monterey-Salinas Transit,90062,70,285466,Monterey,"Monterey, Santa Cruz, Santa Clara, San Luis Obispo",http://www.mst.org/,https://transitfeeds.com/p/monterey-salinas-transit/854/latest/download,http://206.128.158.191/TMGTFSRealTimeWebService/Alert/Alerts.pb,http://206.128.158.191/TMGTFSRealTimeWebService/TripUpdate/TripUpdates.pb,http://206.128.158.191/TMGTFSRealTimeWebService/Vehicle/VehiclePositions.pb
Monument Community Shuttle,,,,Concord,Contra Costa,http://monumentimpact.org/en/resident-engagement/monument-community-shuttle/,,,,
Moorpark City Transit,90227,,,Moorpark,Ventura,http://www.moorparkca.gov/223/Transportation,,,,
Morongo Band of Mission Indians,99358,,,Banning,Riverside,http://morongonation.org/content/transportation-department,,,,
Morongo Basin Transit Authority,91090,,,Joshua Tree,San Bernardino,http://www.mbtabus.com,,,,
Morro Bay Transit,,,,Morro Bay,San Luis Obispo,https://www.morro-bay.ca.us/293/Transit,,,,
Mountain Transit,91012,,,Big Bear Lake,San Bernardino,http://mountaintransit.org/,https://transitfeeds.com/p/mountain-transit/600/latest/download,,,
Mountain View Community Shuttle,,,,Mountain View,Santa Clara,https://mvcommunityshuttle.com,,,,
Needles Area Transit,91020,,,Needles,San Bernardino,http://www.cityofneedles.com/transit/,,,,
Newport Beach Friends of Oasis Senior Center,,,,Newport Beach,Orange,https://www.newportbeachca.gov/government/departments/recreation-senior-services/senior-services-oasis-senior-center/transportation-service,,,,
Norman Y. Mineta San Jose International Airport,,,,San Jose,Santa Clara,https://www.flysanjose.com/,,,,
North County Transit District,90030,152,796674,Oceanside,San Diego,http://www.gonctd.com/,https://transitfeeds.com/p/nctd/194/latest/download,,,
North Fork Rancheria Tribal Transit Program,99364,,,North Fork,Madera,http://northforkrancheria-nsn.gov/departments/transportation,,,,
Norwalk Transit System,90022,24,120194,Norwalk,Los Angeles,https://www.norwalk.org/city-hall/departments/norwalk-transit-system-nts,https://transitfeeds.com/p/norwalk-transit-system/846/latest/download,,,
Oakland International Airport,,,,Oakland,Alameda,https://www.oaklandairport.com/,,,,
Ojai Trolley,91058,,,Ojai,Ventura,http://ojaitrolley.com/,,,,
OmniTrans,90029,157,884534,San Bernardino,San Bernardino,http://www.omnitrans.org/,https://transitfeeds.com/p/omnitrans/304/latest/download,,,
Ontario International Airport,,,,Ontario,San Bernardino,https://www.flyontario.com/,,,,
Orange Belt Stages,,,,Visalia,"Tulare, Fresno, Kern, San Luis Obispo, Merced",http://www.orangebelt.com/,,,,
Orange County Transportation Authority,90036,448,3080672,Orange,Orange,http://www.octa.net/,https://transitfeeds.com/p/orange-county-transportation-authority/197/latest/download,http://api.octa.net/GTFSRealTime/protoBuf/servicealerts.aspx,http://api.octa.net/GTFSRealTime/protoBuf/tripupdates.aspx,http://api.octa.net/GTFSRealTime/protoBuf/VehiclePositions.aspx
PAL Shuttle,,,,San Diego,Los Angeles,https://palomarlimo.com/,,,,
Palm Springs Buzz,,,,Palm Springs,Riverside,https://www.sunline.org/buzzisback,,,,
Palos Verdes Peninsula Transit Authority,90287,,,Rolling Hills,Los Angeles,http://www.palosverdes.com/pvtransit/,https://transitfeeds.com/p/palos-verdes-peninsula-transit-authority/603/latest/download,,,
Paramount Transportation,,,,Paramount,San Diego,http://www.paramountcity.com/community/transit-services,,,,
"Paratransit, Inc.",90223,,,Sacramento,"Sacramento, Stanislaus",http://www.paratransit.org/,,,,
Pasadena Transit,99424,21,136122,Pasadena,Los Angeles,https://www.cityofpasadena.net/pasadena-transit/,https://transitfeeds.com/p/pasadena-transit/1053/latest/download,,https://transitfeeds.com/p/pasadena-transit/1054,
Paso Express,90194,,,San Luis Obispo,San Luis Obispo,http://www.slorta.org/schedules-fares/paso-express/,,,,
Petaluma Transit,90213,9,28988,Petaluma,Sonoma,http://transit.cityofpetaluma.net/,https://transitfeeds.com/p/petaluma-transit-gtfs/675/latest/download,,,
Pico Rivera Dial-A-Ride,90288,,,Pico Rivera,Los Angeles,http://www.pico-rivera.org/depts/parks/programs/senior/transportation.asp,,,,
Placentia Senior Services,,,,Placentia,Orange,http://www.placentia.org/,,,,
Placer County Transit,90196,20,74927,Auburn,Placer,https://www.placer.ca.gov/1768/Placer-County-Transit,https://transitfeeds.com/p/placer-county-transit/1140/latest/download,,,
Playa Vista Shuttle,,,,Playa Vista,Los Angeles,https://playavista.com/playa-vista-shuttle/,,,,
