provider,ntd_id,voms_dr,voms,upt_dr,upt,fares_dr,fares,contact_city,service_county,url,gtfs,gtfs_rt_service_alerts,gtfs_rt_trip_updates,gtfs_rt_vehicle_locations
Duarte Transit,90264,0,2,0,164181,0,0,Duarte,Los Angeles,http://www.accessduarte.com/dept/admin/transit_division/default.htm,https://transitfeeds.com/p/duarte-transit/759/latest/download,,,
Susanville Indian Rancheria Public Transportation Program,99256,4,4,99,1127,1162,10536,Susanville,Lassen,http://www.sir-nsn.gov/event/new-transportation-bus-schedule/,,,,
Lake Forest Senior Transportation,,,,,,,,Lake Forest,Orange,http://www.lakeforestca.gov/173/Senior-Transportation,,,,
DASH Transit,90301,14,0,15614,0,0,0,Lakewood,Los Angeles,https://www.lakewoodcity.org/services/human/transit.asp,,,,
Dinuba Area Regional Transit,9R02-91040,6,6,16645,19520,21076,54378,Dinuba,Tulare,http://www.dinuba.org/services/public-services/public-transit,,,,
Access Services,90157,2288,0,4383256,0,9846059,0,El Monte,Los Angeles,http://accessla.org/home/,,,,
DASH,90147,718,718,266302,18127858,314471,10953919,Los Angeles,Los Angeles,http://www.ladottransit.com/,,,,
Union City Transit,90161,18,18,18028,277717,45616,283762,Union City,Alameda,http://www.uctransit.org/,,,,
Sacramento Regional Transit District,90019,232,464,16065,20874243,20976,27255255,Sacramento,Sacramento,http://www.sacrt.com/,https://transitfeeds.com/p/sacramento-regional-transit/67/latest/download,,,
Westminster on Wheels Senior Transportation Program,,,,,,,,Westminster,Orange,http://www.ci.westminster.ca.us/depts/cs/senior/transportation.asp,,,,
Yorba Linda Taking Retired Adults Into Local Services,,,,,,,,Yorba Linda,Orange,https://www.yorbalindaca.gov/391/Senior-Mobility-ProgramTRAILS,,,,
SolanoExpress,,,,,,,,Suisun City,Solano,https://www.solanoexpress.com/,,,,
Pomona Valley Transportation Authority,99425,74,0,164482,0,226207,0,La Verne,Los Angeles,http://www.pvtrans.org/,,,,
Azusa Transit,90250,6,0,35321,0,14875,0,Azusa,Los Angeles,https://www.ci.azusa.ca.us/329/Azusa-Transit,,,,
Cypress Transportation,,,,,,,,Cypress,Orange,https://www.cypressca.org/government/departments/recreation-community-services/senior-center/transportation,,,,
Beverly Hills,90255,4,0,11012,0,0,0,Beverly Hills,Los Angeles,http://www.beverlyhills.org/living/transportation/,,,,
El Segundo Lunchtime Shuttle,,,,,,,,El Segundo,Los Angeles,http://www.elsegundo.org/depts/recreation/brochure_and_programs/shuttle_services.asp,,,,
Moorpark City Transit,90227,0,2,0,50714,0,36852,Moorpark,Ventura,http://www.moorparkca.gov/223/Transportation,,,,
Folsom Stage Line,90220,7,7,13299,76503,0,0,Folsom,Sacramento,https://www.folsom.ca.us/public_works/transit/stage_line/default.asp,,,,
Gold Country Stage,9R02-91095,0,10,0,239520,0,307825,Nevada City,Nevada,https://www.mynevadacounty.com/2257/Transit-Services,https://transitfeeds.com/p/gold-country-stage/749/latest/download,,,
Montebello Bus Lines,90041,107,214,77152,5699406,24658,4279124,Montebello,Los Angeles,http://www.ridembl.com/,,,,
Colusa County Transit Agency,9R02-91112,6,0,43228,0,93844,0,Colusa,Colusa,http://www.countyofcolusa.org/transit,,,,
San Juan Capistrano Free Weekend Trolley,,,,,,,,San Juan Capistrano,Orange,https://sanjuancapistrano.org/Visitor-Information/Trolley-Service,,,,
Norman Y. Mineta San Jose International Airport,,,,,,,,San Jose,Santa Clara,https://www.flysanjose.com/,,,,
Angel Island-Tiburon Ferry Company,,,,,,,,Tiburon,Marin,https://angelislandferry.com/,,,,
Santa Barbara County Association of Governments,,,,,,,,Santa Barbara,Santa Barbara,http://www.sbcag.org/,,,,
Norwalk Transit System,90022,29,29,22344,1461068,17337,1219874,Norwalk,Los Angeles,https://www.norwalk.org/city-hall/departments/norwalk-transit-system-nts,https://transitfeeds.com/p/norwalk-transit-system/846/latest/download,,,
the Link Willowbrook,90278,0,2,0,63572,0,10766,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkWillowbrook.aspx,,,,
South County Transit Link,9R02-90216,13,26,40575,63417,70707,167118,Galt,"Sacramento, San Joaquin",http://www.sctlink.com/,,,,
Delano Area Rapid Transit,90238,9,18,11371,90308,75245,76434,Delano,Kern,https://www.cityofdelano.org/92/Delano-Area-Rapid-Transit-DART,,,,
Bakersfield Airport Valet Express,,,,,,,,Bakersfield,Kern,http://www.airportvaletexpress.com/,https://transitfeeds.com/p/airport-valet-express/773/latest/download,,,
Beach Cities Transit,90214,14,14,14201,361344,12528,314231,Redondo Beach,Los Angeles,https://www.redondo.org/depts/recreation/transit/beach_cities_transit/default.asp,,,,
Orange Belt Stages,,,,,,,,Visalia,"Tulare, Fresno, Kern, San Luis Obispo, Merced",http://www.orangebelt.com/,,,,
Sonoma County Transit,90089,66,66,59214,916541,231932,1699162,Santa Rosa,Sonoma,http://www.sctransit.com/,https://transitfeeds.com/p/sonoma-county-transit/419/latest/download,,,
Fairfield and Suisun Transit,90092,43,86,25324,963958,112786,2089638,Fairfield,Solano,https://fasttransit.org/,https://transitfeeds.com/p/fairfield-and-suisun-transit/337/latest/download,,,
Maywood Dial-A-Ride,90284,5,5,5955,98112,5955,0,Maywood,Los Angeles,https://www.cityofmaywood.com/dial-a-ride,,,,
Seal Beach Senior Bus Program,,,,,,,,Seal Beach,Orange,http://www.sealbeachca.gov/City-Services/Transportation-Services,,,,
Huntington Park Express,,,,,,,,Huntington Park,Los Angeles,https://www.hpca.gov/232/HP-Express,,,,
Manhattan Beach Dial-A-Ride,90283,4,0,25963,0,6413,0,Manhattan Beach,Los Angeles,https://www.citymb.info/visitors/maps-and-directions/public-transportation,,,,
Guadalupe Flyer,9R02-91043,3,3,1405,84655,4191,67337,Guadalupe,Santa Barbara,https://www.smoothinc.org/guadalupe-flyer.php,,,,
Tulare County Area Transit,9R02-91055,24,24,7669,289574,8321,333523,Visalia,Tulare,https://tularecounty.ca.gov/rma/index.cfm/tulare-county-area-transit-tcat/,,,,
Spirit Bus,90286,10,10,9136,260101,0,51388,Monterey Park,Los Angeles,http://www.montereypark.ca.gov/546/Transportation-Services,https://transitfeeds.com/p/spirit-bus/757/latest/download,,,
Redwood Coast Transit,9R02-91097,8,8,7656,91172,12058,127272,Crescent City,Del Norte,http://www.redwoodcoasttransit.org/,https://transitfeeds.com/p/redwood-coast-transit/599/latest/download,,,
County of Ventura,90298,0,4,0,79613,0,0,Ventura,Camarillo,https://www.ventura.org/visitors/transportation/,,,,
La Habra Heights Dial-a-Ride,,,,,,,,La Habra Heights,Los Angeles,https://www.lhhcity.org/196/Transportation,,,,
Sierra Madre Gateway Coach,,,,,,,,Sierra Madre,Los Angeles,http://www.cityofsierramadre.com/services/transportation/gateway_coach,,,,
Mission Bay TMA,,,,,,,,San Francisco,San Francisco,http://missionbaytma.org,https://transitfeeds.com/p/mission-bay-tma/952/latest/download,,,
Town of Truckee,9R02-91101,6,6,6198,12920,12168,16680,Truckee,Nevada,https://www.townoftruckee.com/government/engineering-and-public-works/public-transportation,,,,
Dixon Readi-Ride Transit Services,9R02-91041,10,0,63843,0,111074,0,Dixon,Solano,http://www.ci.dixon.ca.us/,,,,
Monrovia Transit Dial-A-Ride,90285,9,0,31362,0,24310,0,Monrovia,Los Angeles,https://www.cityofmonrovia.org/your-government/public-works/transportation,,,,
Ridgerunner,9R02-91006,5,5,2444,9707,4420,28835,Ridgecrest,Kern,https://www.ridgecrest-ca.gov/384/Ridgecrest-Transit-Bus-Schedule,https://transitfeeds.com/p/kern-transit/401/latest/download,,,
Lassen Transit Service Agency,9R02-91098,5,10,19979,65849,37649,106330,Susanville,Lassen,http://lassentransportation.com/ltsa,,,,
Pico Rivera Dial-A-Ride,90288,2,0,8166,0,0,0,Pico Rivera,Los Angeles,http://www.pico-rivera.org/depts/parks/programs/senior/transportation.asp,,,,
County Connection,90078,140,140,149722,3414611,504028,3998920,Concord,Contra Costa,http://www.cccta.org/,https://transitfeeds.com/p/county-connection/222/latest/download,,,
Agoura Hills Dial-A-Ride,90246,3,0,9014,0,18397,0,Agoura Hills,Los Angeles,http://www.ci.agoura-hills.ca.us/our-city/visitors/alternative-transportation,,,,
Signal Hill Dial-a-Taxi,,,,,,,,Signal Hill,Los Angeles,https://www.cityofsignalhill.org/260/Dial-a-Taxi-Dial-a-Lift,,,,
San Francisco International Airport,,,,,,,,South San Francisco,San Mateo,https://www.flysfo.com/,,,,
La Campana,90252,14,7,10042,43113,1757,21516,Bell,Los Angeles,http://www.cityofbell.org/?NavID=72,,,,
Plumas Transit Systems,9R02-91119,0,8,0,37994,0,112493,Quincy,Plumas,https://www.plumastransit.com/,https://transitfeeds.com/p/plumas-transit/418/latest/download,,,
Lake Transit,9R02-91053,26,26,8753,310328,11287,470154,Lower Lake,Lake,http://laketransit.org/,https://transitfeeds.com/p/lake-transit-authority/598/latest/download,,,
Ojai Trolley,9R02-91058,0,2,0,88236,0,139740,Ojai,Ventura,http://ojaitrolley.com/,,,,
Yolobus,90090,50,50,24813,1264771,115015,2287229,Woodland,Yolo,http://www.yolobus.com/,https://transitfeeds.com/p/sacramento-regional-transit/161/latest/download,,,
WestCAT,90159,50,100,40481,1167311,60920,2230812,Pinole,Contra Costa,http://www.westcat.org/,https://transitfeeds.com/p/westcat/682/latest/download,,,
Morongo Basin Transit Authority,9R02-91090,19,38,18543,264464,37845,344801,Joshua Tree,San Bernardino,http://www.mbtabus.com,,,,
Karuk Tribe,,,,,,,,Orleans,Humboldt,http://www.karuk.us/index.php/departments/transportation,,,,
Bay Area Rapid Transit,90003,0,1698,0,129044343,0,480845458,Oakland,"Alameda, Contra Costa, Santa Clara, San Mateo, San Francisco",http://www.bart.gov/,https://transitfeeds.com/p/bart/58/latest/download,http://api.bart.gov/gtfsrt/alerts.aspx,http://api.bart.gov/gtfsrt/tripupdate.aspx,
Santa Barbara Metropolitan Transit District,90020,0,93,0,6288980,0,6990789,Santa Barbara,Santa Barbara,http://www.sbmtd.gov/,https://transitfeeds.com/p/santa-barbara-mtd/1156/latest/download,,,
Burbank Bus,90256,0,14,0,221615,0,194459,Burbank,Los Angeles,http://www.burbankbus.org/,,,,
Wasco,9R02-99426,3,0,25597,0,30661,0,Wasco,Kern,http://www.ci.wasco.ca.us/residents/transportation/,,,,
Tule River Indian Tribe,,,,,,,,Porterville,Tulare,tulerivertribe-nsn.gov/,,,,
San Leandro LINKS,,,,,,,,San Leandro,Alameda,http://sanleandrolinks.com/,,,,
Blossom Express,,,,,,,,Ripon,San Joaquin,http://www.cityofripon.org/cms/one.aspx?portalId=1080111&pageId=2984496,,,,
Corcoran Area Transit,9R02-91002,6,0,34151,0,94136,0,Corcoran,Kings,http://www.cityofcorcoran.com/cityhall/pw/transit/default.asp,,,,
LAX FlyAway,,,,,,,,Los Angeles,Los Angeles,http://www.lawa.org/FlyAway/Default.aspx,,,,
Santa Maria Area Transit,90087,26,26,26211,685563,15155,767374,Santa Maria,Santa Barbara,https://www.cityofsantamaria.org/city-government/departments/public-works-services/public-transit-services-2499,https://transitfeeds.com/p/santa-maria-area-transit/760/latest/download,,,
John Wayne Airport,,,,,,,,Santa Ana,Orange,https://www.ocair.com,,,,
North Fork Rancheria Tribal Transit Program,99364,2,0,3226,0,0,0,North Fork,Madera,http://northforkrancheria-nsn.gov/departments/transportation,,,,
Manteca Transit,90217,5,5,11966,49713,23090,29320,Manteca,San Joaquin,http://www.ci.manteca.ca.us/PublicWorks/MantecaTransit/Pages/default.aspx,,,,
Coalinga Transit,,,,,,,,Coalinga,Fresno,http://www.coalinga.com/281/Coalinga-Transit,,,,
West Berkeley Shuttle,,,,,,,,Berkeley,Alameda,http://westberkeleyshuttle.net/,,,,
Fremont Paratransit Program,,,,,,,,Fremont,Alameda,https://www.fremont.gov/BusinessDirectoryII.aspx?lngBusinessCategoryID=40,,,,
San Joaquin Regional Transit District,90012,92,276,55975,3347552,179272,3188045,Stockton,San Joaquin,http://www.sanjoaquinrtd.com/,https://transitfeeds.com/p/san-joaquin-rtd/347/latest/download,,,
Lincoln Transit,,,,,,,,Lincoln,Placer,http://www.lincolnca.gov/city-hall/departments-divisions/public-services/transit,,,,
Lawndale Beat,90280,0,2,0,63003,0,21601,Lawndale,Los Angeles,http://www.lawndalecity.org/html/depthtml/csd/beat.htm,https://transitfeeds.com/p/lawndale-beat/1253/latest/download,,,
Palm Springs Buzz,,,,,,,,Palm Springs,Riverside,https://www.sunline.org/buzzisback,,,,
Yuma County Area Transit,,,,,,,,Yuma (AZ),"Yuma, AZ",https://www.ycipta.org/,,,,
Valley Express,,,,,,,,Santa Paula,Ventura,http://www.valleyexpressbus.org/,,,,
Atascadero Dial-A-Ride,90194,3,0,12826,0,37499,0,Atascadero,San Luis Obispo,https://atascadero.org/index.php?option=com_content&view=article&id=633&Itemid=1536,,,,
Whittier Demand Response,90277,10,0,31127,0,14763,0,Whittier,Los Angeles,https://dpw.lacounty.gov/transit/DAR.aspx#pageTitle,,,,
Rio Vista Delta Breeze,9R02-91014,0,3,0,10409,0,34366,Rio Vista,"Solano, Sacramento, Contra Costa",http://riovistacity.com/delta-breeze-transit-system/,https://transitfeeds.com/p/rio-vista-delta-breeze/526/latest/download,,,
El Monte Transportation Division,90265,26,26,23257,536032,10839,186492,El Monte,Los Angeles,http://www.ci.el-monte.ca.us/Government/PublicWorks/Transportation.aspx,https://transitfeeds.com/p/el-monte-transit/903/latest/download,,,
San Diego Metropolitan Transit System,90026,793,3172,596699,84832513,2686881,87548928,San Diego,San Diego,http://www.sdmts.com/,https://transitfeeds.com/p/san-diego-mts/195/latest/download,,,
Mammoth Lakes Transit System,,,,,,,,Mammoth Lakes,Mono,https://www.estransit.com/routes-schedule/seasonal/,,,,
Petaluma Transit,90213,16,16,17222,323188,43762,218074,Petaluma,Sonoma,http://transit.cityofpetaluma.net/,https://transitfeeds.com/p/petaluma-transit-gtfs/675/latest/download,,,
Merced The Bus,90173,52,52,49912,834591,173996,1185148,Merced,Merced,http://www.mercedthebus.com/,https://transitfeeds.com/p/merced-transit-authority/605/latest/download,,,
Fresno County Rural Transit Agency,9R02-91007,90,90,283304,94093,412786,153912,Fresno,Fresno,http://www.ruraltransit.org/,https://transitfeeds.com/p/fresno-county-rural-transit-agency/338/latest/download,,,
USDA Forest Service Southwest Region,,,,,,,,Vallejo,Solano,https://www.fs.usda.gov/detail/r5/workingtogether/?cid=STELPRDB5373419,,,,
Bishop Paiute Tribe,,,,,,,,Bishop,Inyo,http://www.bishoppaiutetribe.com/,,,,
Chemehuevi Indian Tribe,,,,,,,,Havasu Lake,San Bernardino,www.chemehuevi.net,,,,
Humboldt Transit Authority,9R02-91036,0,28,0,546270,0,1155082,Eureka,Humboldt,http://www.hta.org/,https://transitfeeds.com/p/arcata-mad-river-transit-system/148/latest/download,,,
Kings Area Rural Transit,90200,21,21,14294,704929,35433,580579,Hanford,Kings,https://www.kartbus.org/,https://transitfeeds.com/p/kings-area-rural-transit/1026/latest/download,,,
Catalina Flyer,,,,,,,,Newport Beach,Los Angeles,http://www.catalinainfo.com/,,,,
Covina Transit,90261,5,0,19258,0,5473,0,Covina,Los Angeles,https://covinaca.gov/publicworks/page/transportation,,,,
Costa Mesa Senior Center,,,,,,,,Costa Mesa,Orange,https://www.costamesaca.gov/residents/costa-mesa-senior-center,,,,
Corona Cruiser,90052,15,15,58089,129972,162529,132810,Corona,Riverside,http://www.CoronaTransit.com/,https://transitfeeds.com/p/corona-cruiser,,,
SamTrans,90009,798,798,362251,11457737,910740,14831331,San Carlos,"San Mateo, San Francisco, Santa Clara",http://www.samtrans.com/,https://transitfeeds.com/p/samtrans/144/latest/download,,,
Santa Ynez Valley Transit,9R02-91028,3,3,5956,29488,10332,38533,Solvang,Santa Barbara,http://www.cityofsolvang.com/211/Santa-Ynez-Valley-Transit,,,,
San Diego International Airport,,,,,,,,San Diego,San Diego,https://www.san.org/,,,,
MVGO,,,,,,,,Mountain View,Santa Clara,http://www.mvgo.org/,https://transitfeeds.com/p/mvgo/754/latest/download,,,
Inglewood,90268,24,12,43130,8728,34336,0,Inglewood,Los Angeles,https://www.cityofinglewood.org/796/Transportation,,,,
Burney Express,9R02-99438,0,0,0,0,0,0,Redding,Shasta,https://www.cityofredding.org/departments/redding-area-bus-authority/services/burney-express,,,,
Emery Go-Round,,,,,,,,Emeryville,Alameda,https://www.emerygoround.com/,https://transitfeeds.com/p/emery-go-round/769/latest/download,,,
V-LINE,,,,,,,,Visalia,"Tulare, Fresno",https://ridevline.com/,,,,
Roseville Transit,90168,24,48,28783,321862,81721,760847,Roseville,"Placer, Sacramento",http://www.roseville.ca.us/transit/,,,,
California Vanpool Authority,,,,,,,,Hanford,Kings,http://www.CalVans.org/,,,,
San Clemente Senior Transportation,,,,,,,,San Clemente,Orange,http://www.san-clemente.org/department-services/social-services/senior-services,,,,
Lynwood Trolley / Breeze,90281,0,4,0,196547,0,44845,Lynwood,Los Angeles,http://lynwood.ca.us/lynwood-trolley-breeze-schedule/,,,,
Inyo County Local Transportation Commission,,,,,,,,Independence,Inyo,http://www.inyoltc.org/,,,,
Eastern Sierra Transit Authority,9R02-91062,44,88,59418,1015675,89089,489501,Bishop,"Inyo, Mono, Los Angeles",http://www.estransit.com,https://transitfeeds.com/p/eastern-sierra-transit/602/latest/download,,,
Sierra County Transportation Commission,9R02-91038,4,0,3194,0,12239,0,Downieville,Sierra,https://www.sierracounty.ca.gov/410/Transit,,,,
Altamont Corridor Express,90182,0,34,0,1398954,0,9828063,Stockton,"San Joaquin, Santa Clara",http://www.acerail.com/,https://transitfeeds.com/p/altamont-corridor-express/823/latest/download,,,
The Breeze Bus,90087,26,26,26211,685563,15155,767374,Santa Maria,Santa Barbara,http://www.breezebus.com/,,,,
MUNI,90015,1014,5070,445651,224610591,1227070,202279969,San Francisco,San Francisco,http://www.sfmta.com/,https://transitfeeds.com/p/sfmta/60/latest/download,,,
San Francisco Bay Ferry,,,,,,,,San Francisco,"San Francisco, Alameda, Contra Costa, Solano",https://sanfranciscobayferry.com/,,,,
Trinity Transit,9R02-91035,0,4,0,14048,0,62093,Weaverville,Trinity,http://trinitytransit.org/,https://transitfeeds.com/p/trinity-county-transportation-commission/428/latest/download,,,
Commuter Express,90147,718,718,266302,18127858,314471,10953919,Los Angeles,Los Angeles,http://www.ladottransit.com/,https://transitfeeds.com/p/ladot-transit-services/303/latest/download,,,
Alpine County Local Transportation Commission,9R02-91116,2,0,601,0,5462,0,Markleeville,Alpine,http://www.alpinecountyca.gov/index.aspx?NID=159,,,,
East Valinda Shuttle,90272,0,1,0,44598,0,7901,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/EastValindaShuttle.aspx,,,,
e-Tran,90205,54,108,20784,762785,99703,1219446,Elk Grove,Sacramento,http://www.e-tran.org/,,,,
Capitol Corridor,,,,,,,,intercity,"Alameda, Placer, Sacramento, Yolo, Solano, Contra Costa, San Francisco, Santa Clara",https://www.capitolcorridor.org/,https://transitfeeds.com/p/capitol-corridor/825/latest/download,,,
Arcadia Transit,90044,14,14,26247,53562,6054,7192,Arcadia,Los Angeles,https://www.arcadiaca.gov/transit,,,,
Bell Gardens,90253,6,6,36975,140383,19457,41518,Bell Gardens,Los Angeles,https://www.bellgardens.org/government/city-departments/public-works/transportation,,,,
PresidioGo Shuttle,,,,,,,,San Francisco,San Francisco,http://www.presidio.gov/transportation/presidigo,,,,
Laguna Woods Senior Mobility Program,,,,,,,,Laguna Woods,Orange,https://www.cityoflagunawoods.org/our-services/senior-mobility-services/,,,,
Mountain View Community Shuttle,,,,,,,,Mountain View,Santa Clara,https://mvcommunityshuttle.com,,,,
Gridley Golden Feather Flyer,,,,,,,,Gridley,Butte,http://gridley.ca.us/why-live-here/,,,,
Auburn Transit,9R02-91032,0,5,0,38669,0,21850,Auburn,Placer,https://www.auburn.ca.gov/192/Transit-Services,https://transitfeeds.com/p/auburn-transit/1271/latest/download,,,
Cudahy Area Rapid Transit,90262,6,6,5276,117157,4092,0,Cudahy,Los Angeles,www.cityofcudahy.com,,,,
Diamond Bar Transportation,,,,,,,,Diamond Bar,Los Angeles,https://www.diamondbarca.gov/487/Transportation,,,,
Shafter Dial-A-Ride,9R02-91120,9,0,33494,0,34262,0,Shafter,Kern,https://www.shafter.com/148/Transit,,,,
B-Line,,,,,,,,Chico,Butte,http://www.blinetransit.com/,,,,
Golden Gate Bridge Highway and Transportation District,90016,154,154,37762,3159082,149084,13375796,San Francisco,"Marin, Sonoma, San Francisco, Contra Costa",http://www.goldengate.org/,https://transitfeeds.com/p/golden-gate-bridge-highway-transportation-district/349/latest/download,,,
Tri Delta Transit,90162,78,78,125558,2232469,390382,2270168,Antioch,Contra Costa,http://www.trideltatransit.com/,https://transitfeeds.com/p/tri-delta-transit/1148/latest/download,,,
Woodlake Dial-A-Ride,9R02-91079,3,0,20245,0,17283,0,Woodlake,Tulare,http://www.cityofwoodlake.com/transportation/,,,,
Brea Shuttle Express,,,,,,,,Brea,Orange,http://www.cityofbrea.net/1105/Transportation,,,,
Santa Clarita Transit,90171,91,182,104851,2670472,114467,3258614,Santa Clarita,Los Angeles,http://santaclaritatransit.com/,,,,
Coronado Ferry,,,,,,,,Coronado,San Diego,https://www.flagshipsd.com/cruises/coronado-ferry,,,,
GTrans,90042,49,49,23443,3086911,12859,2324257,Gardena,Los Angeles,http://ridegtrans.com/,,,,
Laguna Beach Municipal Transit,90119,0,23,0,841985,0,29914,Laguna Beach,Orange,http://www.lagunabeachcity.net/trolley,https://transitfeeds.com/p/laguna-beach-transit/402/latest/download,,,
Morro Bay Transit,,,,,,,,Morro Bay,San Luis Obispo,https://www.morro-bay.ca.us/293/Transit,,,,
Rosemead Explorer,90289,5,5,9383,67821,4348,18352,Rosemead,Los Angeles,http://www.cityofrosemead.org/cms/one.aspx?pageId=10909050,,,,
Catalina Express,,,,,,,,San Pedro,"Los Angeles, Orange",http://catalinaexpress.com/,,,,
Ventura County Transportation Commission,90164,45,90,33076,690436,53591,1003933,Ventura,Ventura,https://www.goventura.org/,https://transitfeeds.com/p/ventura-county-transportation-commission/792/latest/download,,,
Claremont Dial-a-Ride,90296,56,0,31862,0,50724,0,Claremont,Los Angeles,https://www.ci.claremont.ca.us/living/transit-services-75,,,,
Central Coast Shuttle LAX,,,,,,,,Los Angeles,Los Angeles,https://www.centralcoastshuttle.com/,,,,
Berkeley Lab Bus System,,,,,,,,Berkeley,Alameda,https://commute.lbl.gov/service/shuttle-buses/,,,,
Hawaiian Gardens Public Transportation,,,,,,,,Hawaiian Gardens,"Los Angeles, Orange",https://hgcity.org/hg/?p=266,,,,
eTrans,9R02-91078,2,2,2226,1036,2154,1804,Escalon,San Joaquin,http://cityofescalon.org/cms/one.aspx?pageId=13056687,https://transitfeeds.com/p/city-of-escalon/601/latest/download,,,
Balboa Island Ferry,,,,,,,,Newport Beach,Orange,http://www.balboaislandferry.com/,,,,
Seniors on the Go Transportation Services,,,,,,,,Huntington Beach,Orange,https://www.huntingtonbeachca.gov/residents/human_services/SeniorsOutreachCenterTransportation.cfm,,,,
South El Monte Senior Transportation,,,,,,,,South El Monte,Los Angeles,http://www.ci.south-el-monte.ca.us/CITYDEPARTMENTSSERVICES/CommunityServices/SeniorServices.aspx,,,,
Newport Beach Friends of Oasis Senior Center,,,,,,,,Newport Beach,Orange,https://www.newportbeachca.gov/government/departments/recreation-senior-services/senior-services-oasis-senior-center/transportation-service,,,,
UC San Diego Campus Shuttles,,,,,,,,La Jolla,San Diego,http://transportation.ucsd.edu/shuttles/index.html,,,,
SLO Transit,90156,0,12,0,945288,0,771861,San Luis Obispo,San Luis Obispo,https://www.slocity.org/government/department-directory/public-works/slo-transit,https://transitfeeds.com/p/city-of-san-luis-obispo/709/latest/download,,,
Santa Monica College Academy/Madison Transit Shuttle,,,,,,,,Santa Monica,Los Angeles,http://smc.edu/StudentServices/transportation/Pages/Shuttles.aspx,,,,
Redding Area Bus Authority,90093,28,28,52821,665600,161296,654894,Redding,Shasta,http://www.rabaride.com/,https://transitfeeds.com/p/redding-area-bus-authority/346/latest/download,,,
